description,date,title,name_medio,scope_medio
"Con temperaturas superiores a los 30 grados, los incendios se propagaron en distintos puntos de las Sierras de Córdoba.
                        Este 2020 ya es el año en el que más castigaron los incendios a Córdoba desde 2013. Se calcula que ya son más de 65 mil las hectáreas quemadas en toda la provincia.",2020-09-24,En fotos: el avance de las llamas en la zona de Las Junturas,La Voz,Provincial
"Con temperaturas superiores a los 30 grados, los incendios se propagaron en distintos puntos de las Sierras de Córdoba. En estas imágenes se ve el avance de las llamas cerca de La Juntura.",2020-09-24,En fotos: el avance de las llamas cerca de Alta Gracia,La Voz,Provincial
"Entre ambos, sumarían unas 20 mil hectáreas. Uno afecta de Carlos Paz a Falda del Carmen. Otro, avanza hacia Pampa de Olaen.
                    “Son dos incendios enormes y complejos”, resumió anoche Claudio Vignetta sobre los dos frentes de fuego que durante toda la jornada de ayer avanzaron sobre zonas serranas.",2020-09-24,En llamas: dos enormes incendios serranos siguen activos ,La Voz,Provincial
"Durante años, se usaron para la detección temprana de focos. Pero ya no están.
                Llegar a un foco de incendio apenas se inicia resulta clave para lograr que no avance fuera de control. Con ese criterio se valora cualquier modalidad de “alerta temprana” que permita a los bomberos llegar a tiempo. De hecho, la gran mayoría de las decenas de focos diarios en Córdoba se sofoca antes de su expansión.",2020-09-24,Bomberos “vigía”: un rol que fue desactivado ,La Voz,Provincial
"Cada uno a su ritmo, incendios, desmontes y especies exóticas impactan en el bosque nativo. Aunque con imágenes más impactantes, las llamas son el aspecto menos dañino de este trío que tiene rostro humano.",2020-09-24,Los tres jinetes del apocalipsis del monte cordobés,La Voz,Provincial
No habría lluvias en los próximos días y se esperan máximas de 30 grados o superiores. Son catorce provincias afectadas por las llamas.,2020-09-28,"Incendios en Córdoba: un panorama difícil, con tres focos activos y sin control",Clarín,Nacional
"Agustina Pavón utilizó internet satelital para rendir un parcial durante los incendios en La Cumbre. Una vez aprobado, siguió trabajando en abastecer a los aviones hidrantes. La historia.",2020-09-28,Joven bombera aprobó un examen universitario en medio del combate contra los incendios,La Voz,Provincial
"Hay tres focos, en La Cumbre-Characato (descontrolado), en la zona de Alta Gracia (con reinicios parciales) y en el sur de la provincia, en Alpa Corral.",2020-09-28,Incendios en Córdoba: tres frentes siguen complicados y el viento no para,La Voz,Provincial
Las condiciones meteorológicas no acompañaron a los bomberos que tuvieron una lucha incesante contra tres grandes frentes en nuestro territorio.,2020-09-28,"Otro día ""infernal"" en Córdoba: qué focos de incendios siguen activos en la provincia",La Voz,Provincial
"Bomberos continúan trabajando en varios incendios durante este lunes. Uno es en cercanías de Alta Gracia, otro en Characato, (al norte provincial), otro en La Cumbre y uno más al sur, en Alpa Corral. En este video se ven las tareas realizadas por un helicóptero de la Provincia, que toma agua en Potrerillo de Larreta, en Alta Gracia (Gentileza Santiago Menéndez).",2020-09-28,Así trabaja el helicóptero de la Provincia asistiendo en la lucha contra el fuego cerca de Alta Gracia,La Voz,Provincial
"Sigue siendo muy complicada la situación meteorológica. Rotó el viento hacia el nornoreste lo que complica la tarea de bomberos. Hay tres focos, en La Cumbre, Characato (descontrolado) y en la zona de Alta Gracia (con reinicios parciales).",2020-09-28,"Sin lluvias y con calor, combaten tres incendios en la provincia",La Voz,Provincial
"Las tareas de combate contra el fuego se retomaron esta mañana, aunque ""la tarea es muy compleja por la adversidad de las condiciones meteorológicas"", informaron desde Defensa Civil. Hace más de cuatro meses que no llueve en la zona.<br />",2020-09-28,Con 10 aviones hidrantes y 300 bomberos combaten dos incendios forestales,Télam,Nacional
"Sigue siendo muy complicada la situación meteorológica. Hoy habrá una rotación del viento hacia el nornoreste que podría complicar la tarea de bomberos. Hay dos focos, en Cruz del Eje-Punilla y en la zona de Alta Gracia.",2020-09-28,"Sin lluvias y con calor, combaten dos incendios en la provincia",La Voz,Provincial
"Sigue siendo muy complicada la situación meteorológica. Hoy habrá una rotación del viento hacia el nornoreste que podría complicar la tarea de bomberos. Hay dos focos, en Cruz del Eje-Punilla y en la zona de Alta Gracia.",2020-09-28,"Sin lluvias y con mucho calor, combaten dos incendios en la provincia",La Voz,Provincial
"Bomberos, aviones hidrantes y helicópteros trabajan intensamente en las zonas de Alta Gracia y Cruz del Eje, donde aún existen dos grandes focos. La rotación del viento podría complicar la actividad.",2020-09-28,"Incendios en Córdoba: sin lluvias a la vista, el fuego sigue sin control",Clarín,Nacional
"A partir de esta decisión, que fue anunciada en la Resolución 200/2020, que se publicó este lunes en el Boletín Oficial, el Gobierno estableció una serie de beneficios y ayudas para los productores afectados por estos siniestros",2020-09-28,"Por los incendios, declararon la emergencia agropecuaria en algunas zonas de Córdoba",Infobae,Nacional
"Los bomberos tuvieron otro duro combate contra las llamas en el otro extremo de la provincia, en la zona de Characato. Es uno de los focos que continúa activo en Córdoba. Fotografías: La Voz",2020-09-28,"En fotos, el incendio en Characato este domingo",La Voz,Provincial
Las llamas se acercaban este domingo a la zona de Alta Gracia. Trabajan para evitar que llegue a zonas pobladas.,2020-09-27,Incendios en Córdoba: llovió muy poco  y el fuego se escapó hacia las sierras del noroeste,Clarín,Nacional
"Uno está en el departamento Santa María, y el otro en la jurisdicción de Cruz del Eje. Trabajan alrededor de 300 bomberos, 10 aviones hidrantes y un helicóptero. Reiteran el pedido de que no se acerquen civiles a las llamas para intentar combatirlas.",2020-09-27,Sigue la lucha contra el fuego: dos grandes incendios continúan activos en Córdoba,La Voz,Provincial
Dos organizaciones le reclaman 150 millones de pesos para reparar los daños económicos y ambientales ocasionados.,2020-09-27,Incendios en el Delta: presentan una demanda millonaria contra un grupo de productores,Clarín,Nacional
"Las llamas avanzan de sur a norte, desde Los Nogales hacia Falda del Carmen. La intensidad del viento y la baja visibilidad nocturna complican las tareas de los brigadistas.",2020-09-27,Bomberos combaten un incendio en la zona de Paravachasca,La Voz,Provincial
"Es el único foco activo en la provincia.
                                                                Bomberos de distintos cuarteles de la provincia combatían este sábado el incendio desatado en el norte de Punilla, el único de los frentes que permanece activo en Córdoba.",2020-09-26,Norte de Punilla: no llovió “ni una gota” y combaten el incendio con bomberos y aviones hidrantes,La Voz,Provincial
